Record Type,Account Number,Account Name,Date,Credit Amount,Debit Amount,Code,Description,Reference,Memo
"Balance","1356084","FLYBAR INC","04/15/2024",182060.70,,"1020","Current Balance","",""
"Balance","1356084","FLYBAR INC","04/15/2024",181534.09,,"1010","Available Balance","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"45","Closing Available","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"50","Average Closing Available MTD","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"55","Average Closing Available YTD","",""
"Balance","1356084","FLYBAR INC","04/15/2024",1257.95,,"1035","One Day Float","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"1040","Two Day Float","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"100","Total Credits","",""
"Balance","1356084","FLYBAR INC","04/15/2024",,,"400","Total Debits","",""
"Detail","1356084","FLYBAR INC","04/15/2024",66.40,,"2163","ACH Credit","","PAYMENTS   AMAZON.COM SERVI CTX ISA*00*NV        *00*NV *ZZ*9000012712     *ZZ*NV"
"Detail","1356084","FLYBAR INC","04/15/2024",66.40,,"2163","ACH Credit","","PAYMENTS   AMAZON.COM SERVI CTX ISA*00*NV        *00*NV *ZZ*9000012712     *ZZ*NV"
"Detail","1356084","FLYBAR INC","04/15/2024",66.40,,"2163","ACH Credit","","PAYMENTS   AMAZON.COM SERVI CTX ISA*00*NV        *00*NV *ZZ*9000012712     *ZZ*NV"
"Detail","1356084","FLYBAR INC","04/15/2024",66.40,,"2163","ACH Credit","","PAYMENTS   AMAZON.COM SERVI CTX ISA*00*NV        *00*NV *ZZ*9000012712     *ZZ*NV"
"Detail","1356084","FLYBAR INC","04/15/2024",142.21,,"2163","ACH Credit","","TRANSFER   Shopify CCD"
"Detail","1356084","FLYBAR INC","04/15/2024",588.40,,"2163","ACH Credit","","EDI PAYMNT HOME DEPOT 5113 CCD REF*TN*2000485562\"
"Detail","1356084","FLYBAR INC","04/15/2024",1455.19,,"2163","ACH Credit","","MTOT DEP   BANKCARD CCD"
"Detail","1356084","FLYBAR INC","04/15/2024",,400.00,"3083","Wire Transfer Debit","","Wire Transfer Debit CHIPS OUT 202404150008033 DIGO CREATIVE ENTERPRISE LIMIT"
"Detail","1356084","FLYBAR INC","04/15/2024",,2336.62,"3083","Wire Transfer Debit","","Wire Transfer Debit WIRES OUT 202404150008034 FIRST INSURANCE FUNDING"
"Detail","1356084","FLYBAR INC","04/15/2024",,2500.00,"3183","ACH Debit","","AP Payment Itria Ven HC 1 CCD"
"Detail","1356084","FLYBAR INC","04/15/2024",,132.72,"3052","Check (Regular Inclearings)","1552",""
